Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C11,C12,C13,C14,C15,C16,C18,C2",C0402,C1525,8
100kOhm,"R6,R7",R0603,C25803,2
10kOhm,"R10,R11,R12,R13,R14,R15,R3,R8,R9",R0603,C25804,9
10uF,"C1,C3,C4,C6,C7,C8,C9",C0402,C1523,7
1kOhm,"R16,R17,R18,R19,R20",R0603,C21190,5
1uF 0603,"C10,C17,C19,C5",C0603,C15849,4
2kOhm,R4,R0603,C22975,1
5.1kOhm,"R1,R2,R5",R0603,C23186,3
AFC01-S10FCC-00,P1,FPC-SMD_AFC01-S10FCC-00,C262266,1
AP2112K-3_3TRG1 Regulator,U9,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118,1
AP3602AKTR-G1 SETUPUP,U1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C460358,1
DMG3415U,U10,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-1,C7202986,1
KT-0603R,LED1,LED0603-RD,C2286,1
MAX17048G+T10 FUEL GAUGE,U6,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,C2682616,1
MCP73831T-2ACI/OT Charger,U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,C424093,1
S2B-PH-SM4-TB(LF)(SN)JST-PH Connector,U8,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,C295747,1
SS54_C22452,U11,SMA_L4.4-W2.8-LS5.4-R-RD,C22452,1
TS-1088-AR02016,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,C720477,2
TYPE-C-31-M-12,U12,USB-C_SMD-TYPE-C-31-M-12_1,C165948,1
