Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C0402,87.25,-68.25,0.0,top
C10,1uF 0603,C0603,88.249962,-61.149987,180.0,top
C11,0.1uF,C0402,117.2,-65.220117,-90.0,top
C12,0.1uF,C0402,101.3,-80.4,0.0,top
C13,0.1uF,C0402,83.3,-59.75,0.0,top
C14,0.1uF,C0402,92.429883,-70.2,0.0,top
C15,0.1uF,C0402,92.45,-74.5,0.0,top
C16,0.1uF,C0402,89.096634,-72.175,0.0,top
C17,1uF 0603,C0603,92.6,-58.699975,-90.0,top
C18,0.1uF,C0402,111.25,-80.5,180.0,top
C19,1uF 0603,C0603,106.25,-80.25,180.0,top
C2,0.1uF,C0402,117.2,-69.75,90.0,top
C3,10uF,C0402,89.25,-67.0,0.0,top
C4,10uF,C0402,87.25,-67.0,180.0,top
C5,1uF 0603,C0603,83.0,-61.3,180.0,top
C6,10uF,C0402,85.0,-72.683953,90.0,top
C7,10uF,C0402,82.3,-67.15,90.0,top
C8,10uF,C0402,85.2,-60.85,-90.0,top
C9,10uF,C0402,91.0,-59.2,90.0,top
LED1,KT-0603R,LED0603-RD,59.149873,-93.701003,-90.0,top
P1,AFC01-S10FCC-00,FPC-SMD_AFC01-S10FCC-00,105.0,-90.55997,0.0,top
R1,5.1kOhm,R0603,61.5,-93.546634,-90.0,top
R10,10kOhm,R0603,91.95,-65.65,0.0,top
R11,10kOhm,R0603,118.6,-69.25,90.0,top
R12,10kOhm,R0603,118.6,-65.746634,-90.0,top
R13,10kOhm,R0603,88.746634,-73.625,0.0,top
R14,10kOhm,R0603,91.95,-71.55,0.0,top
R15,10kOhm,R0603,91.95,-67.2,0.0,top
R16,1kOhm,R0603,120.2,-69.25,90.0,top
R17,1kOhm,R0603,120.2,-65.746634,-90.0,top
R18,1kOhm,R0603,91.95,-68.8,180.0,top
R19,1kOhm,R0603,91.95,-73.15,180.0,top
R2,5.1kOhm,R0603,64.2,-93.546634,-90.0,top
R20,1kOhm,R0603,88.746634,-75.175,0.0,top
R3,10kOhm,R0603,91.95,-61.0,180.0,top
R4,2kOhm,R0603,82.0,-76.2,180.0,top
R5,5.1kOhm,R0603,85.039598,-75.333953,90.0,top
R6,100kOhm,R0603,84.65,-67.25,0.0,top
R7,100kOhm,R0603,81.5,-63.05,180.0,top
R8,10kOhm,R0603,91.946634,-62.55,180.0,top
R9,10kOhm,R0603,91.946634,-64.1,180.0,top
SW1,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,93.6,-92.0,90.0,top
SW2,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,89.075776,-92.0,-90.0,top
U1,AP3602AKTR-G1 SETUPUP,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,88.25,-64.25,-90.0,top
U10,DMG3415U,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-1,80.7,-65.55,180.0,top
U11,SS54_C22452,SMA_L4.4-W2.8-LS5.4-R-RD,82.25,-69.65,180.0,top
U12,TYPE-C-31-M-12,USB-C_SMD-TYPE-C-31-M-12_1,62.8,-98.813992,0.0,top
U6,MAX17048G+T10 FUEL GAUGE,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,88.250064,-58.95,-90.0,top
U7,MCP73831T-2ACI/OT Charger,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,82.334792,-73.175648,90.0,top
U8,S2B-PH-SM4-TB(LF)(SN)JST-PH Connector,CONN-SMD_P2.00_S2B-PH-SM4-TB-LF-SN,78.9,-85.3,90.0,top
U9,AP2112K-3_3TRG1 Regulator,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,84.649974,-64.25,0.0,top
